Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-038780,2018-08,08/18/2018 15:30,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,3870,FAIRVIEW AVE,15, , ,3870,FAIRVIEW,891685.3,1005682
18-038868,2018-08,08/18/2018 15:30,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,6240,SOUTHWOOD AVE,45, , ,6240,SOUTHWOOD,875852.3,1020535
18-038788,2018-08,08/18/2018 15:30,Y, , ,1, , 51322,4,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,2211,SULLIVAN AVE,60, , ,2211,SULLIVAN,904508.6,1027364
18-038756,2018-08,08/18/2018 15:50,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,N BROADWAY / HALLS FERRY RD,74, , , , ,897141.1,1048215
18-038755,2018-08,08/18/2018 15:53,Y, , ,1, , 43013,5,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,5435,DR MARTIN LUTHER KING DR,50,DR KING CHOP SUEY, ,5435,DR MARTIN LUTHER KING,885431.6,1032229
18-038761,2018-08,08/18/2018 16:10,Y, , ,1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2600,CHOUTEAU AVE,31,QT,@QT - JEFFERSON / CHOUTEAU, , ,900507.7,1015458
18-038768,2018-08,08/18/2018 16:50,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,4466,OLIVE ST,38, ,@FIELD SCHOOL,4466,OLIVE,890383.1,1024717
18-040744,2018-08,08/18/2018 17:00,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,3929,COTE BRILLIANTE AVE,56, , ,3929,COTE BRILLIANTE,896833.3,1026673
18-038830,2018-08,08/18/2018 17:00,Y, , ,1, , 51322,4,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,200,N 4TH ST,35, ,CITY VIEW,200,4TH,909518.1,1017323
18-038803,2018-08,08/18/2018 17:00,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",0,N COMPTON AVE / WASHINGTON AVE,37, , , , ,898757.1,1021066
18-038912,2018-08,08/18/2018 17:00,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,5202,PAULIAN PL,52, , , , ,887287,1031264
18-038885,2018-08,08/18/2018 17:00,Y, , ,1, , 69602,4,"LARCENY-ALL OTHER $500 - $24,999",3840,WASHINGTON BLVD,77, , ,3840,WASHINGTON,895875.6,1022377
18-040744,2018-08,08/18/2018 17:00, , , ,-1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,3929,COTE BRILLIANTE AVE,56, , ,3929,COTE BRILLIANTE,896833.3,1026673
18-038763,2018-08,08/18/2018 17:12,Y, , ,1, ,229999,3,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,3501,KEOKUK ST,16, , ,3500,KEOKUK,893677.9,1002524
18-039476,2018-08,08/18/2018 17:30,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4255,HAMPTON AVE,8,TARGET, ,4255,HAMPTON,878653.4,1004650
18-038773,2018-08,08/18/2018 17:30,Y, , ,1, , 63701,2,LARCENY-SHOPLIFT UNDER $500,4255,HAMPTON AVE,8, ,@TARGET,4255,HAMPTON,878653.4,1004650
18-038775,2018-08,08/18/2018 17:57,Y, , ,1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,6000,NATURAL BRIDGE AVE,50, , , , ,884487.5,1039583
18-038851,2018-08,08/18/2018 18:00,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,3952,MCDONALD AVE,15, , ,3952,MCDONALD,890919.2,1006265
18-038927,2018-08,08/18/2018 18:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,5458,HARNEY AVE,72, , ,5458,HARNEY,893197.8,1042929
18-038973,2018-08,08/18/2018 18:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4870,CALVIN AVE,69, , ,4870,CALVIN,893691.4,1037341
18-038890,2018-08,08/18/2018 18:00,Y, , ,1, , 52312,4,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,101,MONROE ST,64, , ,101,MONROE,909545.6,1025743
18-039105,2018-08,08/18/2018 19:00,Y, , ,1, , 67701,3,LARCENY-FROM BUILDING UNDER $500,3641,IOWA AVE,19, , ,3641,IOWA,897327.9,1003410
18-038778,2018-08,08/18/2018 19:08,Y, , ,1, , 36111,1,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS,7700,S BROADWAY,2, , ,7700,BROADWAY,889254.4,987884.8
18-038777,2018-08,08/18/2018 19:10,Y, , ,1, , 63701,2,LARCENY-SHOPLIFT UNDER $500,7057,CHIPPEWA ST,9,SHOP N SAVE,@SHOP N SAVE- CHIPPEWA,7057,CHIPPEWA,872714.9,1002363
18-038782,2018-08,08/18/2018 19:30,Y, , ,1, , 41013,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,4006,LINDELL BLVD,38, ,@MCDONALDS - 4006 LINDELL,4006,LINDELL,893414.3,1021641
18-038811,2018-08,08/18/2018 19:30,Y, , ,1, , 65601,4,"LARCENY-MTR VEH PARTS $500 - $24,999",0,N 18TH ST / WASHINGTON AVE,36, , , , ,904506.9,1019675
18-038847,2018-08,08/18/2018 19:30,Y, , ,1, , 64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",3933,HUMPHREY ST,15, , ,3933,HUMPHREY,891228.4,1007105
18-038783,2018-08,08/18/2018 19:32,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,4340,LOUGHBOROUGH AVE,4,DISCOUNT SMOKE SHOP, ,4340,LOUGHBOROUGH,883551.7,995055.4
18-038790,2018-08,08/18/2018 19:51,Y, , ,1, ,211000,4,DUI-DRVING WHILE INTOXICATED,1619,N BROADWAY,64, , , , ,909769.1,1022609
18-038888,2018-08,08/18/2018 20:00,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4180,BURGEN AVE,5, , , , ,886216.2,998168.7
18-038806,2018-08,08/18/2018 20:00,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,4714,LOUISIANA AVE,16, , ,4714,LOUISIANA,892472.3,997547.5
18-038939,2018-08,08/18/2018 20:00,Y, , ,1, , 64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",5161,WASHINGTON PL,38, , ,5161,WASHINGTON,886063.4,1026100
18-038785,2018-08,08/18/2018 20:05,Y, , ,1, , 32112,1,ROBBERY-RESIDENCE   /FIREARM USED/ATTEMPT,4616,ADKINS AVE,5, , ,4616,ADKINS,888237,1000969
18-038819,2018-08,08/18/2018 20:15,Y, , ,1, , 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",3427,S JEFFERSON AVE,19,SAVE A LOT, , , ,898497.9,1004658
18-038840,2018-08,08/18/2018 20:30,Y, , ,1, , 65601,3,"LARCENY-MTR VEH PARTS $500 - $24,999",1505,MISSOURI AVE,32, , ,1505,MISSOURI,900594.5,1013453
18-038871,2018-08,08/18/2018 20:30,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,7301,FIELD AVE,4, , ,7031,FIELD,885859.3,992178.1
18-038791,2018-08,08/18/2018 20:45,Y, , ,1, , 71030,6,AUTO THEFT-PERM RETNT/JOY RIDE,4207,RED BUD AVE,68, , ,1915,OLIVE,897867.3,1034226
18-038797,2018-08,08/18/2018 20:55,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",1551,S. 7TH ST,64, ,EST 1156 S 6TH ST CITY, , ,0,0
18-038801,2018-08,08/18/2018 21:00,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,308,N EUCLID AVE,38, , ,308,EUCLID,888454.8,1023811
18-038794,2018-08,08/18/2018 21:15,Y, , ,1, , 41013,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,4168,FEDERER ST,5, , ,4168,FEDERER,885222.6,996518.6
18-039023,2018-08,08/18/2018 21:30,Y, , ,1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2800,GEYER AVE,24, , ,2800,GEYER,898230.5,1012401
18-038793,2018-08,08/18/2018 21:40,Y, , ,1, ,266510,3,PUBLIC ORDER-TRESPASSING,2851,GRAVOIS AVE,24,QUICKTRIP,@QT - GRAVOIS / NEBRASKA,2851,GRAVOIS,897916.5,1008451
18-038857,2018-08,08/18/2018 22:00,Y, , ,1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,4873,SAINT LOUIS AVE,55, , ,2727,KINGSHIGHWAY,890935.1,1033012
18-038799,2018-08,08/18/2018 22:02,Y, , ,1, , 38111,4,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,0,I 70 EASTBOUND / SALISBURY ST,65,BP,PARKING LOT @ GAS PUMPS, , ,906592.7,1029999
18-038925,2018-08,08/18/2018 22:16,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,800,WASHINGTON AVE,35, ,@HOTEL- RENAISSANCE GRAND HOTEL,800,WASHINGTON,908187.4,1018534
18-038796,2018-08,08/18/2018 22:20,Y, , ,1, , 63701,4,LARCENY-SHOPLIFT UNDER $500,904,S VANDEVENTER AVE,37, ,@QT - VANDEVENTER / CHOUTEAU,904,VANDEVENTER,892624.1,1017847
18-038800,2018-08,08/18/2018 22:29,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3020,TEXAS AVE,30, ,APT A,3020,TEXAS,898788.2,1007299
18-038841,2018-08,08/18/2018 22:30,Y, , ,1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1305,DOLMAN ST,32, , ,1305,DOLMAN,903031.4,1013792
18-038839,2018-08,08/18/2018 23:00,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4970,ROSALIE ST,71, ,RESIDENCE,4970,ROSALIE,895226.2,1040275
18-038878,2018-08,08/18/2018 23:00,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4130,NATURAL BRIDGE AVE,56,AUTO ZONE, ,4103,NATURAL BRIDGE,897889.8,1031319
18-038897,2018-08,08/18/2018 23:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1600,PINE ST,36, , ,1600,PINE,904957.8,1018479
18-038824,2018-08,08/18/2018 23:30,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,9053,RIVERVIEW DR,74,JC SUPPER CLUB, , , ,899293.6,1054259
18-038852,2018-08,08/18/2018 23:30,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,1434,KEALTY LN,33, , ,1434,KEALTY,904177.6,1014072
18-038991,2018-08,08/18/2018 23:30,Y, , ,1, , 64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,5321,SAVOY CT,49, , ,5321,SAVOY,884681.3,1026939
18-038884,2018-08,08/18/2018 23:30,Y, , ,1, , 64701,5,LARCENY-FROM MTR VEH UNDER $500,4602,VERNON AVE,54, , ,4602,VERNON,890819.4,1027982
18-038808,2018-08,08/18/2018 23:44,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,N BROADWAY / HARLAN AVE,74, , , , ,897601.3,1051819
18-038918,2018-08,08/18/2018 23:50,Y, , ,1, , 71030,1,AUTO THEFT-PERM RETNT/JOY RIDE,3841,S GRAND BLVD,16, , ,3841,GRAND,893091,1002774
18-038866,2018-08,08/19/2018 00:01,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,3939,MAGNOLIA AVE,27, , ,3939,MAGNOLIA,892228.2,1010390
18-038810,2018-08,08/19/2018 00:05,Y, , ,1, , 41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,0,CHOUTEAU AVE / S LEONOR K SULL,20, , , , ,909369.4,1012916
18-038810,2018-08,08/19/2018 00:05,Y, , ,1, , 41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,0,CHOUTEAU AVE / S LEONOR K SULL,20, , , , ,909369.4,1012916
18-038856,2018-08,08/19/2018 00:20,Y, , ,1, , 64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",4140,MANCHESTER AVE,39, ,@BAR- THE ATOMIC COWBOY, , ,891133.3,1017378
18-038812,2018-08,08/19/2018 00:32,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4575,COTTAGE AVE,56, , ,4500,COTTAGE,892472.4,1030645
18-038815,2018-08,08/19/2018 00:50,Y, , ,1, ,182999,3,DRUGS-POSSESSION/OTHR UNSPEC DRUG,0,GRAVOIS AVE / PENNSYLVANIA AVE,30, , , , ,896857.9,1007868
18-038922,2018-08,08/19/2018 01:00,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",1000,SPRUCE ST,35,WHEELHOUSE, ,1000,SPRUCE,906666.7,1015976
18-038814,2018-08,08/19/2018 01:05,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,3933,MAGNOLIA AVE,27, , , , ,892305.3,1010470
18-038813,2018-08,08/19/2018 01:05,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,14,MARYLAND PLZ,38, ,@BAR- BAR LOUIE,14,MARYLAND,888340.1,1023682
18-038817,2018-08,08/19/2018 01:15,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4324,DELOR ST,5, , ,4324,DELOR,886476,1000703
18-038821,2018-08,08/19/2018 01:40,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,999,N 2ND ST,35, ,@HOTEL- FOUR SEASONS,999,2ND,910439.8,1019433
18-038848,2018-08,08/19/2018 01:45,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,1000,SPRUCE ST,35, ,PARKING GARAGE, , ,906666.7,1015976
18-038903,2018-08,08/19/2018 02:00,Y, , ,1, , 51222,6,BURGLARY-RESIDENCE/NIT/UNLAW ENT/UNOCCUPIED,878,NASSAU DR,74, ,RESIDENCE REAR SHED,878,NASSAU,896737.4,1052157
18-038820,2018-08,08/19/2018 02:16,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,I 70 WESTBOUND / SALISBURY ST,65, ,ALIAS I 70 WB/SALISBURY, , ,906697.3,1030038
18-038822,2018-08,08/19/2018 03:05,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,720,N 2ND ST,35, , ,999,2ND,910422.9,1018661
18-038823,2018-08,08/19/2018 03:19,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,N KINGSHIGHWAY BLVD / MARYLAND,38, , , , ,887466.6,1023914
18-038827,2018-08,08/19/2018 03:45,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2925,N FLORISSANT AVE,60,KENNY S AUTO REPAIRS & SALES,PARKING LOT,2925,FLORISSANT,905491.6,1026602
18-038829,2018-08,08/19/2018 03:50,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,N 6TH ST / OLIVE ST,35, , , , ,908728.6,1017711
18-038825,2018-08,08/19/2018 03:50,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,4649,SHAW BLVD,13, , , , ,886894.9,1013801
18-038826,2018-08,08/19/2018 04:15,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6101,ALASKA AVE,1, , ,6101,ALASKA,890372.7,994228.7
18-038828,2018-08,08/19/2018 04:30,Y, , ,1, ,151110,4,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,999,N 2ND ST,35, , ,999,2ND,910439.8,1019433
18-039219,2018-08,08/19/2018 05:15,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4480,MARGARETTA AVE,69, , ,4480,MARGARETTA,895121.8,1033989
18-039127,2018-08,08/19/2018 05:20,Y, , ,1, , 63701,1,LARCENY-SHOPLIFT UNDER $500,6900,GRAVOIS AVE,4,QUIK TRIP, ,6900,GRAVOIS,881785.8,996419.9
18-039144,2018-08,08/19/2018 06:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,5800,KENNERLY AVE,50, , ,5800,KENNERLY,0,0
18-039211,2018-08,08/19/2018 07:00,Y, , ,1, , 71040,5,AUTO THEFT-PERM RETNT/ATTEMPT,3514,GOODFELLOW BLVD,50,TRANSPORT ONE, ,3514,GOODFELLOW,885523.3,1038135
18-038837,2018-08,08/19/2018 07:00,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1460,PRESERVATION PL,61, , ,1460,PRESERVATION,906689.7,1022067
18-038835,2018-08,08/19/2018 07:26,Y, , ,1, ,178100,1,SEX OFFNS-EXPOSURE/LEWD&LACIV ACT,4000,EICHELBERGER ST,5, , ,3800,BATES,0,0
18-038838,2018-08,08/19/2018 07:31,Y, , ,1, , 73330,4,AUTO THEFT-MTRCYCLE/PERM RETNT/JOY RIDE,2226,FARRAR ST,65, ,VICTIM S HOME,3617,22ND,903734.8,1029140
18-039742,2018-08,08/19/2018 08:00,Y, , ,1, , 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",4542,ADKINS AVE,5, , ,4542,ADKINS,888526.6,1001391
18-039313,2018-08,08/19/2018 08:00,Y, , ,1, , 51322,2,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3931,SHAW BLVD,27, , ,3931,SHAW,892823.5,1013172
18-039155,2018-08,08/19/2018 08:00,Y, , ,1, , 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5038,RUSKIN AVE,71, , ,5038,RUSKIN,892942.3,1039885
18-039030,2018-08,08/19/2018 08:00,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6321,SHERRY AVE,76, , ,6321,SHERRY,887872.6,1045159
18-038910,2018-08,08/19/2018 08:15,Y, , ,1, , 73313,2,AUTO THEFT-MTRCYCLE/PERM RETNT/UNRECOV OVER 48,3621,WINNEBAGO ST,15, , ,3621,WINNEBAGO,893075.1,1003962
18-038843,2018-08,08/19/2018 08:45,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,721,N 2ND ST,35, , , , ,910261.4,1018660
18-039531,2018-08,08/19/2018 09:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3700,S JEFFERSON AVE,18,SUMP COFFEE,MARINE VILLA NEIGHBORHOOD,3700,JEFFERSON,898481.4,1002969
18-038869,2018-08,08/19/2018 09:00,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,0,BIDDLE ST / LEWIS ST,64, , , , ,911184.4,1020319
18-038853,2018-08,08/19/2018 09:27,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,2001,E JOHN AVE,66, ,REAR, , ,903042.8,1033644
18-039019,2018-08,08/19/2018 09:30,Y, , ,1, , 63701,2,LARCENY-SHOPLIFT UNDER $500,3225,HAMPTON AVE,9,MOBILE ON THE RUN, ,3225,HAMPTON,879649.6,1008791
18-038867,2018-08,08/19/2018 10:00,Y, , ,1, , 44015,4,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,4,COLUMBUS SQUARE DR,62, , ,4,COLUMBUS SQUARE,908187.5,1020715
18-038863,2018-08,08/19/2018 10:30,Y, , ,1, ,115200,3,FRAUD-STEALING BY DECEIT/UNDER $150,2801,CHEROKEE ST,19,LA VALLESANA, ,2801,CHEROKEE,897290,1005269
18-039891,2018-08,08/19/2018 10:45,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,1408,S 10TH ST,34, , , , ,905682.5,1012237
18-038861,2018-08,08/19/2018 10:55,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4700,S GRAND BLVD,16, ,SIDEWALK/STREET, , ,891923.2,998015.3
18-038858,2018-08,08/19/2018 11:00,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,626,N 6TH ST,35, , ,626,6TH,908954.4,1018431
18-039080,2018-08,08/19/2018 11:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,0,S 9TH ST / LEBANON DR,34, , , , ,906283.3,1013705
18-038854,2018-08,08/19/2018 11:05,Y, , ,1, ,229999,3,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,0,FAIRVIEW AVE / S GRAND BLVD,25, , , , ,893620.6,1005614
18-038864,2018-08,08/19/2018 11:08,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,LEXINGTON AVE / N NEWSTEAD AVE,56, , , , ,895269.4,1032456
18-038859,2018-08,08/19/2018 11:10,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,0,ARSENAL ST / JAMIESON AVE,10, , , , ,875460,1010564
18-038875,2018-08,08/19/2018 11:17,Y, , ,1, ,182130,1,DRUGS-POSSESSION/HEROIN,4735,ALASKA AVE,16, , ,4714,LOUISIANA,892483.6,997273.6
18-038915,2018-08,08/19/2018 11:45,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,1000,LEBANON DR,34, , ,1000,LEBANON,905859.3,1013829
18-038880,2018-08,08/19/2018 11:55,Y, , ,1, , 32112,6,ROBBERY-RESIDENCE   /FIREARM USED/ATTEMPT,4828,N BROADWAY,64, ,@HOTEL- FIRST WESTERN INN,4828,BROADWAY,904588.8,1034757
18-038876,2018-08,08/19/2018 12:00,Y, , ,1, , 38111,5,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,0,HAMILTON AVE / KENNERLY AVE,50, , , , ,883185.4,1035816
18-040747,2018-08,08/19/2018 12:00,Y, , ,1, , 51312,4,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,920,DOCK ST,64,ROYALTY RACING, ,920,DOCK,907471.1,1028024
18-040507,2018-08,08/19/2018 12:00,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5206,DEWEY AVE,3, , ,5206,DEWEY,890271.3,997513.3
18-039332,2018-08,08/19/2018 12:00,Y, , ,1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,4830,SACRAMENTO AVE,69, , ,4830,SACRAMENTO,892616.1,1034635
18-038872,2018-08,08/19/2018 12:25,Y, , ,1, , 91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4288,CLARENCE AVE,68, , ,4288,CLARENCE,897425.6,1035390
18-038872,2018-08,08/19/2018 12:25,Y, , ,1, , 41013,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,4288,CLARENCE AVE,68, , ,4288,CLARENCE,897425.6,1035390
18-038917,2018-08,08/19/2018 12:30,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,1100,S 9TH ST,34, , ,700,CLARK,906403.9,1013383
18-038896,2018-08,08/19/2018 13:00,Y, , ,1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3000,LAFAYETTE AVE,31, , ,3000,LAFAYETTE,897546.3,1013072
18-038874,2018-08,08/19/2018 13:00,Y, , ,1, ,263299,6,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,0,W FLORISSANT AVE / I 70 EASTBO,69, ,ALIAS EB 70/W FLORISSANT, , ,897988.4,1037636
18-039079,2018-08,08/19/2018 13:00,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",0,N 7TH ST / PINE ST,35, , ,720,OLIVE,908335.3,1017522
18-038881,2018-08,08/19/2018 13:14,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,5003,DELMAR BLVD,51, , , , ,887661.3,1026321
18-038887,2018-08,08/19/2018 14:04,Y, , ,1, , 69703,3,LARCENY-ALL OTH/FRM PRSN/UNDER $500,3518,S GRAND BLVD,25, , , , ,893530.5,1004900
18-038891,2018-08,08/19/2018 14:16,Y, , ,1, , 91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",0,CHEROKEE ST / NEBRASKA AVE,19, , , , ,896815.4,1005396
18-039050,2018-08,08/19/2018 14:30,Y, , ,1, , 52312,4,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,1323,SULLIVAN AVE,63, , ,1324,SULLIVAN,906586.6,1026819
18-038924,2018-08,08/19/2018 14:38,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,4956,ST LOUIS AVE,55, , ,4956,ST LOUIS,890289.6,1033199
18-038894,2018-08,08/19/2018 14:45,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,FINE ARTS DR / LAGOON DR,82, , , , ,878690.9,1023036
18-038921,2018-08,08/19/2018 14:45,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,14,PARKLAND PL,48, , ,14,PARKLAND,880698.6,1030035
18-038892,2018-08,08/19/2018 14:45,Y, , ,1, , 31111,3,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,2733,SHENANDOAH AVE,24, ,@PARK - FOX, , ,898500.8,1010449
18-039164,2018-08,08/19/2018 15:00,Y, , ,1, , 69702,4,LARCENY-ALL OTHER UNDER $500,1520,AGNES AVE,65, , ,1520,AGNES,905970.8,1028612
18-039110,2018-08,08/19/2018 15:00,Y, , ,1, , 64701,1,LARCENY-FROM MTR VEH UNDER $500,8608,MINNESOTA AVE,2, , ,8608,MINNESOTA,886604.3,985992.5
18-038999,2018-08,08/19/2018 15:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1511,PRESERVATION PL,61, , ,1511,PRESERVATION,906189.8,1022184
18-038978,2018-08,08/19/2018 15:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,1416,HEBERT ST,63, , ,1416,HEBERT,906361.3,1027055
18-038906,2018-08,08/19/2018 15:20,Y, , ,1, , 91123,3,SIMPLE ASSAULT-CHILD/NO INJURY,1017,MORRISON AVE,34,LASALLE, ,1017,MORRISON,905714.8,1013166
18-039007,2018-08,08/19/2018 15:30,Y, , ,1, , 52312,2,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,1618,TOWER GROVE AVE,28, , ,1618,TOWER GROVE,890131.3,1014630
18-039446,2018-08,08/19/2018 16:00,Y, , ,1, ,204100,3,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,2807,GASCONADE ST,16, , , , ,896914.1,1000679
18-038902,2018-08,08/19/2018 16:05,Y, , ,1, , 63701,2,LARCENY-SHOPLIFT UNDER $500,2321,MCCAUSLAND AVE,10,FAMILY DOLLAR, ,2321,MCCAUSLAND,874571.1,1012739
18-038899,2018-08,08/19/2018 16:09,Y, , ,1, ,182260,4,DRUGS-POSSESSION/METHAMPHETAMINE,3616,GARFIELD AVE,59, , , , ,898699.4,1025847
